constrset,inst,index,x,y,valid
constr_1_0192,t1i1r07,29,16,42,1
constr_1_0192,t1i1r07,30,16,44,1
constr_1_0192,t1i1r07,31,16,46,1
constr_1_0224,t1i1r08,0,16,48,1
constr_1_0224,t1i1r08,1,18,0,1
constr_1_0224,t1i1r08,2,18,2,1
constr_1_0224,t1i1r08,3,18,4,1
constr_1_0224,t1i1r08,4,18,6,1
constr_1_0224,t1i1r08,5,18,8,1
constr_1_0224,t1i1r08,6,18,10,1
constr_1_0224,t1i1r08,7,18,12,1
constr_1_0224,t1i1r08,8,18,14,1
constr_1_0224,t1i1r08,9,18,16,1
constr_1_0224,t1i1r08,10,18,18,1
constr_1_0224,t1i1r08,11,18,20,1
constr_1_0224,t1i1r08,12,18,22,1
constr_1_0224,t1i1r08,13,18,24,1
constr_1_0224,t1i1r08,14,18,26,1
constr_1_0224,t1i1r08,15,18,28,1
constr_1_0224,t1i1r08,16,18,30,1
constr_1_0224,t1i1r08,17,18,32,1
constr_1_0224,t1i1r08,18,18,34,1
constr_1_0224,t1i1r08,19,18,36,1
constr_1_0224,t1i1r08,20,18,38,1
constr_1_0224,t1i1r08,21,18,40,1
constr_1_0224,t1i1r08,22,18,42,1
constr_1_0224,t1i1r08,23,18,44,1
constr_1_0224,t1i1r08,24,18,46,1
constr_1_0224,t1i1r08,25,18,48,1
constr_1_0224,t1i1r08,26,20,0,1
constr_1_0224,t1i1r08,27,20,2,1
constr_1_0224,t1i1r08,28,20,4,1
constr_1_0224,t1i1r08,29,20,6,1
constr_1_0224,t1i1r08,30,20,8,1
constr_1_0224,t1i1r08,31,20,10,1
constr_1_0256,t1i1r09,0,20,12,1
constr_1_0256,t1i1r09,1,20,14,1
constr_1_0256,t1i1r09,2,20,16,1
constr_1_0256,t1i1r09,3,20,18,1
constr_1_0256,t1i1r09,4,20,20,1
constr_1_0256,t1i1r09,5,20,22,1
constr_1_0256,t1i1r09,6,20,24,1
constr_1_0256,t1i1r09,7,20,26,1
constr_1_0256,t1i1r09,8,20,28,1
constr_1_0256,t1i1r09,9,20,30,1
constr_1_0256,t1i1r09,10,20,32,1
constr_1_0256,t1i1r09,11,20,34,1
constr_1_0256,t1i1r09,12,20,36,1
constr_1_0256,t1i1r09,13,20,38,1
constr_1_0256,t1i1r09,14,20,40,1
constr_1_0256,t1i1r09,15,20,42,1
constr_1_0256,t1i1r09,16,20,44,1
constr_1_0256,t1i1r09,17,20,46,1
constr_1_0256,t1i1r09,18,20,48,1
constr_1_0256,t1i1r09,19,22,0,1
constr_1_0256,t1i1r09,20,22,2,1
constr_1_0256,t1i1r09,21,22,4,1
constr_1_0256,t1i1r09,22,22,6,1
constr_1_0256,t1i1r09,23,22,8,1
constr_1_0256,t1i1r09,24,22,10,1
constr_1_0256,t1i1r09,25,22,12,1
constr_1_0256,t1i1r09,26,22,14,1
constr_1_0256,t1i1r09,27,22,16,1
constr_1_0256,t1i1r09,28,22,18,1
constr_1_0256,t1i1r09,29,22,20,1
constr_1_0256,t1i1r09,30,22,22,1
constr_1_0256,t1i1r09,31,22,24,1
constr_1_0288,t1i1r10,0,22,26,1
constr_1_0288,t1i1r10,1,22,28,1
constr_1_0288,t1i1r10,2,22,30,1
constr_1_0288,t1i1r10,3,22,32,1
constr_1_0288,t1i1r10,4,22,34,1
constr_1_0288,t1i1r10,5,22,36,1
constr_1_0288,t1i1r10,6,22,38,1
constr_1_0288,t1i1r10,7,22,40,1
constr_1_0288,t1i1r10,8,22,42,1
constr_1_0288,t1i1r10,9,22,44,1
constr_1_0288,t1i1r10,10,22,46,1
constr_1_0288,t1i1r10,11,22,48,1
constr_1_0288,t1i1r10,12,24,0,1
constr_1_0288,t1i1r10,13,24,2,1
constr_1_0288,t1i1r10,14,24,4,1
constr_1_0288,t1i1r10,15,24,6,1
constr_1_0288,t1i1r10,16,24,8,1
constr_1_0288,t1i1r10,17,24,10,1
constr_1_0288,t1i1r10,18,24,12,1
constr_1_0288,t1i1r10,19,24,14,1
constr_1_0288,t1i1r10,20,24,16,1
constr_1_0288,t1i1r10,21,24,18,1
