constrset,inst,index,x,y,valid
constr_1_0192,t1i1r07,11,10,6,1
constr_1_0192,t1i1r07,12,10,8,1
constr_1_0192,t1i1r07,13,10,10,1
constr_1_0192,t1i1r07,14,10,12,1
constr_1_0192,t1i1r07,15,10,14,1
constr_1_0192,t1i1r07,16,10,16,1
constr_1_0192,t1i1r07,17,10,18,1
constr_1_0192,t1i1r07,18,10,20,1
constr_1_0192,t1i1r07,19,10,22,1
constr_1_0192,t1i1r07,20,10,24,1
constr_1_0192,t1i1r07,21,10,26,1
constr_1_0192,t1i1r07,22,10,28,1
constr_1_0192,t1i1r07,23,10,30,1
constr_1_0192,t1i1r07,24,10,32,1
constr_1_0192,t1i1r07,25,10,34,1
constr_1_0192,t1i1r07,26,10,36,1
constr_1_0192,t1i1r07,27,10,38,1
constr_1_0192,t1i1r07,28,10,40,1
constr_1_0192,t1i1r07,29,10,42,1
constr_1_0192,t1i1r07,30,10,44,1
constr_1_0192,t1i1r07,31,10,46,1
constr_1_0224,t1i1r08,0,10,48,1
constr_1_0224,t1i1r08,1,10,50,1
constr_1_0224,t1i1r08,2,10,52,1
constr_1_0224,t1i1r08,3,10,54,1
constr_1_0224,t1i1r08,4,10,56,1
constr_1_0224,t1i1r08,5,10,58,1
constr_1_0224,t1i1r08,6,10,60,1
constr_1_0224,t1i1r08,7,10,62,1
constr_1_0224,t1i1r08,8,10,64,1
constr_1_0224,t1i1r08,9,10,66,1
constr_1_0224,t1i1r08,10,10,68,1
constr_1_0224,t1i1r08,11,10,70,1
constr_1_0224,t1i1r08,12,10,72,1
constr_1_0224,t1i1r08,13,10,74,1
constr_1_0224,t1i1r08,14,10,76,1
constr_1_0224,t1i1r08,15,10,78,1
constr_1_0224,t1i1r08,16,10,80,1
constr_1_0224,t1i1r08,17,10,82,1
constr_1_0224,t1i1r08,18,10,84,1
constr_1_0224,t1i1r08,19,10,86,1
constr_1_0224,t1i1r08,20,10,88,1
constr_1_0224,t1i1r08,21,10,90,1
constr_1_0224,t1i1r08,22,10,92,1
constr_1_0224,t1i1r08,23,10,94,1
constr_1_0224,t1i1r08,24,10,96,1
